date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,electoral_district,region,electoral_district_id,bus_distance
22/01/2010,"10 Killians Court, Mullagh",Cavan,95154.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJK4PKPvZVZ0gRr4yBBzv3JTg,"https://maps.googleapis.com/maps/api/geocode/json?address=10+Killians+Court,+Mullagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.8111814,-6.9498744000000015,"10 Killians Ct, Rantavan, Mullagh, Co. Cavan, A82 EP30, Ireland",A82 EP30,ROOFTOP,Mullagh,Border,32010,0.12706027158257366
22/01/2010,"Corlisalee, Cavan",Cavan,200000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ-zMlFwQMXkgRm7es6klKXOw,"https://maps.googleapis.com/maps/api/geocode/json?address=Corlisalee,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.95546829999999,-7.346400399999998,"Corlisalee, Co. Cavan, Ireland",,APPROXIMATE,Moynehall,Border,32073,3.107790995865264
28/01/2010,"Polleragh, Kilnaleck",Cavan,182500.0,No,Second-Hand Dwelling house /Apartment,,ChIJyRIDm_3hXUgRgIExl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Polleragh,+Kilnaleck,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.8622249,-7.3213784,"Tonylion, Kilnaleck, Co. Cavan, Ireland",,APPROXIMATE,Kilnaleck,Border,32068,0.08201576448137378
29/01/2010,"1 Ardkill Place, Garrymore, Ballinagh",Cavan,159493.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJmcTfSmoLXkgRzLogodocDq8,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Ardkill+Place,+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9255071,-7.4137597999999985,"1 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 A378, Ireland",H12 A378,ROOFTOP,Bellananagh,Border,32041,0.6656343569512326
04/02/2010,"15 Ardkill Place, Garrymore, Ballinagh",Cavan,100000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJE1VrjGoLXkgR7RoUf2JNdYk,"https://maps.googleapis.com/maps/api/geocode/json?address=15+Ardkill+Place,+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.92377420000001,-7.415579600000001,"15 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 Y051, Ireland",H12 Y051,ROOFTOP,Bellananagh,Border,32041,0.8913202998926959
04/02/2010,"7 Lakeview, Ballybay Road, Cootehill",Cavan,198237.89,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJIWuVvzsdXkgRb4evZiYXQys,"https://maps.googleapis.com/maps/api/geocode/json?address=7+Lakeview,+Ballybay+Road,+Cootehill,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.0675275,-7.055743,"7 Lakeview, Ballybay Rd, Drumgreen, Cootehill, Co. Cavan, H16 EH36, Ireland",H16 EH36,ROOFTOP,Cootehill Rural,Border,32050,1.7744836790806124
05/02/2010,"2 Drumglen Drive, Swellan Lower, Cavan",Cavan,189779.73,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJyQlCMkoMXkgRRaGoXBkyPlA,"https://maps.googleapis.com/maps/api/geocode/json?address=2+Drumglen+Drive,+Swellan+Lower,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.98465890000001,-7.3785255,"2 Drumglen Dr, Swellan Lower, Cavan, Co. Cavan, H12 R279, Ireland",H12 R279,ROOFTOP,Cavan Rural,Border,32048,0.883309150778441
10/02/2010,"1 Maple Drive, Drumgola Wood, Cavan",Cavan,150000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ906-AAoOXkgRmaYzbJksodo,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Maple+Drive,+Drumgola+Wood,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.01791160000001,-7.354838300000001,"1 Maple Dr, Drumherrish, Drumgola Wood, Co. Cavan, H12 EA03, Ireland",H12 EA03,ROOFTOP,Cavan Rural,Border,32048,0.5354373616668936
11/02/2010,"7 Lansdowne Manor, Swellan Lower",Cavan,198500.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,ChIJ0x1MuMoNXkgRxNVBrcKrjRA,"https://maps.googleapis.com/maps/api/geocode/json?address=7+Lansdowne+Manor,+Swellan+Lower,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9903655,-7.3751010999999975,"7 Landsdowne Manor, Swellan Lower, Cavan, Co. Cavan, H12 WY46, Ireland",H12 WY46,ROOFTOP,Cavan Rural,Border,32048,0.751932462478458
12/02/2010,"26 Ardkill Place Garrymore, Ballinagh",Cavan,170000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJJ0rUT2oLXkgRGMsOok3KD_A,"https://maps.googleapis.com/maps/api/geocode/json?address=26+Ardkill+Place+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9249464,-7.414437200000001,"26 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 YC62, Ireland",H12 YC62,ROOFTOP,Bellananagh,Border,32041,0.7411821719763011
13/02/2010,"Church Street, Ballyconnell",Cavan,180000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ_wTsq9MNXkgRjv650iPnsW4,"https://maps.googleapis.com/maps/api/geocode/json?address=Church+Street,+Ballyconnell,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9933931,-7.359576400000001,"Church St, Cavan, Ireland",,GEOMETRIC_CENTER,Cavan Urban,Border,32001,0.12768005375667735
16/02/2010,"Knockbride, Bailieborough",Cavan,125000.0,No,Second-Hand Dwelling house /Apartment,,ChIJtxATPywAXkgR6MIoLy2SygU,"https://maps.googleapis.com/maps/api/geocode/json?address=Knockbride,+Bailieborough,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.92106039999999,-6.9888981,"Cavan Rd, Cloverhill, Bailieborough, Co. Cavan, Ireland",,GEOMETRIC_CENTER,Bailieborough,Border,32002,1.3800499528545502
18/02/2010,"12 Broad Meadows, Ballyjamesduff",Cavan,170000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ8yeXxlX9XUgRc1enth9lAYg,"https://maps.googleapis.com/maps/api/geocode/json?address=12+Broad+Meadows,+Ballyjamesduff,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.86771020000001,-7.192081200000001,"12 Broad Meadows, Kilmore, Ballyjamesduff, Co. Cavan, A82 T8Y9, Ireland",A82 T8Y9,ROOFTOP,Ballyjamesduff,Border,32029,0.9689290147687244
18/02/2010,"64 Station Lane, Swellan",Cavan,119295.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJQ8TD90kMXkgR8laMUhwnX78,"https://maps.googleapis.com/maps/api/geocode/json?address=64+Station+Lane,+Swellan,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9839818,-7.376040400000001,"64 Station Ln, Swellan Lower, Cavan, Co. Cavan, H12 V652, Ireland",H12 V652,ROOFTOP,Cavan Rural,Border,32048,0.8938704191785046
18/02/2010,"Swellan Lower, Cavan",Cavan,136500.0,No,Second-Hand Dwelling house /Apartment,,ChIJ3_7kFUsMXkgRgKgxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Swellan+Lower,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.98942710000001,-7.383478899999999,"Swellan Lower, Cavan, Ireland",,APPROXIMATE,Cavan Rural,Border,32048,1.1856104560148857
19/02/2010,"Edrans, Tullyco, Cootehill",Cavan,200000.0,No,Second-Hand Dwelling house /Apartment,,ChIJlw_xHPUEXkgRZZPGgEcslZU,"https://maps.googleapis.com/maps/api/geocode/json?address=Edrans,+Tullyco,+Cootehill,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.0056245,-7.148077400000001,"Edrans, Co. Cavan, Ireland",,APPROXIMATE,Larah North,Border,32070,3.655723842582917
19/02/2010,"Escafeld, Cortober, Cootehill",Cavan,220000.0,No,Second-Hand Dwelling house /Apartment,,ChIJn8_AyIscXkgRMjBTu6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Escafeld,+Cortober,+Cootehill,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.0899392,-7.1166104999999975,"Cortober, Fairgreen, Co. Cavan, Ireland",,APPROXIMATE,Ashfield,Border,32037,2.6606958309907207
24/02/2010,"27 Killians Court, Mullagh",Cavan,100000.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,ChIJtywPKPZVZ0gR-_ycZoiUrbw,"https://maps.googleapis.com/maps/api/geocode/json?address=27+Killians+Court,+Mullagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.81072800000001,-6.951256699999999,"27 Killians Ct, Rantavan, Mullagh, Co. Cavan, A82 EV74, Ireland",A82 EV74,ROOFTOP,Mullagh,Border,32010,0.23077594015111186
24/02/2010,"31 Ardkill Place, Garrymore, Ballinagh",Cavan,100000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJ5eJGSWoLXkgR_xKKYvdb3fo,"https://maps.googleapis.com/maps/api/geocode/json?address=31+Ardkill+Place,+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9253353,-7.4143935,"31 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 YD68, Ireland",H12 YD68,ROOFTOP,Bellananagh,Border,32041,0.7014509177577134
24/02/2010,"40 Killians Court, Mullagh, Cavan",Cavan,100000.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,ChIJYw1hmFj_XUgRZrTjfJlCk08,"https://maps.googleapis.com/maps/api/geocode/json?address=40+Killians+Court,+Mullagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.8113098,-6.9520928,"40 Killians Ct, Rantavan, Mullagh, Co. Cavan, A82 W7Y3, Ireland",A82 W7Y3,ROOFTOP,Mullagh,Border,32010,0.26374187881883754
25/02/2010,"13 Ardkill Place, Ballinagh",Cavan,114537.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJPRi39WoLXkgR3-GxpA1FWuE,"https://maps.googleapis.com/maps/api/geocode/json?address=13+Ardkill+Place,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9240788,-7.4150009999999975,"13 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 TH24, Ireland",H12 TH24,ROOFTOP,Bellananagh,Border,32041,0.8440530219529675
25/02/2010,"17 Churchview, Ballyhaise",Cavan,135255.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJ6TQtgNkRXkgRsOUxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=17+Churchview,+Ballyhaise,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.04733929999999,-7.3155094,"Raheg, Ballyhaise, Co. Cavan, Ireland",,APPROXIMATE,Ballyhaise,Border,32039,0.11381612357983364
25/02/2010,"Carraquill, Ballyconnell",Cavan,40000.0,No,Second-Hand Dwelling house /Apartment,,ChIJbaB95Y5rXkgR4OQxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Carraquill,+Ballyconnell,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.11621750000001,-7.5839542999999985,"Doon, Ballyconnell, Co. Cavan, Ireland",,APPROXIMATE,Ballyconnell,Border,32015,0.15395147043529345
26/02/2010,"Knocktemple, Virginia",Cavan,250000.0,No,Second-Hand Dwelling house /Apartment,,ChIJRdmUb9P9XUgRTSkvnR_4XTw,"https://maps.googleapis.com/maps/api/geocode/json?address=Knocktemple,+Virginia,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.80356389999999,-7.088477600000001,"Knockatemple, Virginia, Co. Cavan, A82 PF98, Ireland",A82 PF98,GEOMETRIC_CENTER,Munterconnaught,Border,32033,3.3768340692679035
02/03/2010,"22 Ardkill Place, Ballinagh",Cavan,100000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJobo18moLXkgRc1GO3lFcC1A,"https://maps.googleapis.com/maps/api/geocode/json?address=22+Ardkill+Place,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.92369850000001,-7.414863800000001,"22 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 KT66, Ireland",H12 KT66,ROOFTOP,Bellananagh,Border,32041,0.8785430246039975
02/03/2010,"27 Glen Alainn, Mullagh",Cavan,121982.37,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJnUk4TvdVZ0gRGyu7p4T8giE,"https://maps.googleapis.com/maps/api/geocode/json?address=27+Glen+Alainn,+Mullagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.80853320000001,-6.9439422,"27 Glen Alaínn, Rantavan, Mullagh, Co. Cavan, A82 N7P4, Ireland",A82 N7P4,ROOFTOP,Mullagh,Border,32010,0.4116137892648536
04/03/2010,"Fintavan, Ballyjamesduff",Cavan,145000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ_96liqziXUgRcNcxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Fintavan,+Ballyjamesduff,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.86387360000001,-7.206456199999999,"Cornahilt, Ballyjamesduff, Co. Cavan, Ireland",,APPROXIMATE,Ballyjamesduff,Border,32029,0.06618890039404654
05/03/2010,"19 Dun Na Carraige, Rocks Road, Kingscourt",Cavan,132158.58,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJU4ow0MSsYEgRkvUoz_ok0ZY,"https://maps.googleapis.com/maps/api/geocode/json?address=19+Dun+Na+Carraige,+Rocks+Road,+Kingscourt,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9057397,-6.817065599999999,"19 Dún Na Carraige, Dunaree, Kingscourt, Co. Cavan, A82 D8K1, Ireland",A82 D8K1,ROOFTOP,Kingscourt,Border,32008,0.7945908988861575
05/03/2010,"27 Lock Eala, Lough Gowna",Cavan,306100.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJZSOfLuh1XkgRkAY8TjatTag,"https://maps.googleapis.com/maps/api/geocode/json?address=27+Lock+Eala,+Lough+Gowna,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.87010429999999,-7.5306532000000015,"27 Loch Eala, Cornagran, Loch Gowna, Co. Cavan, H12 X580, Ireland",H12 X580,ROOFTOP,Scrabby,Border,32093,5.88551154249046
05/03/2010,"44 Ardkill Place, Garrymore, Ballinagh",Cavan,100000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJK047MmoLXkgRrawZKrTiVtQ,"https://maps.googleapis.com/maps/api/geocode/json?address=44+Ardkill+Place,+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.92618969999999,-7.414468299999998,"44 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 XW70, Ireland",H12 XW70,ROOFTOP,Bellananagh,Border,32041,0.6218339349589546
05/03/2010,"Drumbar, Crossdoney",Cavan,30000.0,No,Second-Hand Dwelling house /Apartment,,ChIJj9sHh6UNXkgRIr84H-c_jjE,"https://maps.googleapis.com/maps/api/geocode/json?address=Drumbar,+Crossdoney,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9986159,-7.395465799999997,"Drumbar, Co. Cavan, Ireland",,APPROXIMATE,Cavan Rural,Border,32048,1.3286102027456903
09/03/2010,"Curraghmore, Virginia",Cavan,171900.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJTfWX5Xj9XUgR4hxTu6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Curraghmore,+Virginia,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.86181360000001,-7.1471728,"Curraghmore, Correagh, Co. Cavan, Ireland",,APPROXIMATE,Lurgan,Border,32032,2.1158845635127137
12/03/2010,"Drumanespick, Bailieborough",Cavan,50000.0,No,Second-Hand Dwelling house /Apartment,,ChIJjzQZPpuqYEgRAPQxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Drumanespick,+Bailieborough,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9156096,-6.9692941999999976,"Tanderagee, Bailieborough, Co. Cavan, Ireland",,APPROXIMATE,Bailieborough,Border,32002,0.05677986808740256
12/03/2010,"Drumanespick, Bailieborough",Cavan,80000.0,No,Second-Hand Dwelling house /Apartment,,ChIJjzQZPpuqYEgRAPQxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Drumanespick,+Bailieborough,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9156096,-6.9692941999999976,"Tanderagee, Bailieborough, Co. Cavan, Ireland",,APPROXIMATE,Bailieborough,Border,32002,0.05677986808740256
15/03/2010,"5, Steepleton Grove, Shercock",Cavan,116000.0,No,Second-Hand Dwelling house /Apartment,,ChIJf3OV_0epYEgR0CEyl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=5,+Steepleton+Grove,+Shercock,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9950108,-6.8979854000000005,"Lisdrumskea, Shercock, Co. Cavan, Ireland",,APPROXIMATE,Shercock,Border,32011,0.010289283237296148
16/03/2010,"Aughaveens, Loch Gowna",Cavan,145375.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ81M6c9t1XkgRYBAyl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Aughaveens,+Loch+Gowna,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.87370490000001,-7.5336731,"Loch Gowna, Co. Cavan, Ireland",,APPROXIMATE,Scrabby,Border,32093,5.5922621432024044
16/03/2010,"Drumlion, Cavan",Cavan,320000.0,No,Second-Hand Dwelling house /Apartment,,ChIJI_bMdA0LXkgRUm9Su6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Drumlion,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.92154919999999,-7.4026229999999975,"Drumlion, Co. Cavan, Ireland",,APPROXIMATE,Bellananagh,Border,32041,1.1296428867454629
18/03/2010,"7 Ardkill Place, Garrymore, Ballinagh",Cavan,152892.56,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ4zOvVmoLXkgRNbq9Uf9G-GE,"https://maps.googleapis.com/maps/api/geocode/json?address=7+Ardkill+Place,+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.92457899999999,-7.4141144,"7 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 VX64, Ireland",H12 VX64,ROOFTOP,Bellananagh,Border,32041,0.7691003875602319
18/03/2010,"80 Yewpark, Virginia",Cavan,192951.54,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJUQQEKX7-XUgRqM4Lcpg31ow,"https://maps.googleapis.com/maps/api/geocode/json?address=80+Yewpark,+Virginia,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.8334015,-7.0685424,"80 Yew Park, Rahardrum, Virginia, Co. Cavan, A82 A0Y5, Ireland",A82 A0Y5,ROOFTOP,Virginia,Border,32034,0.19704218138687574
19/03/2010,"1 Aughnadreenagh, Stradone",Cavan,250000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ1fPFGmQPXkgRwCIyl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Aughnadreenagh,+Stradone,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.98206999999999,-7.2366319,"Aghagolrick, Stradone, Co. Cavan, Ireland",,APPROXIMATE,Stradone,Border,32077,1.75411547929012
19/03/2010,"16 Dun Mullach, Mullagh",Cavan,176207.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJMSPvLPZVZ0gRz3Ud7V3p6u0,"https://maps.googleapis.com/maps/api/geocode/json?address=16+Dun+Mullach,+Mullagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.8102259,-6.950488099999999,"16 Dún Mullach, Rantavan, Mullagh, Co. Cavan, A82 W2P8, Ireland",A82 W2P8,ROOFTOP,Mullagh,Border,32010,0.22315849038877905
