date_of_sale,address,county,price,vat_exclusive,property_description,property_size,accuracy,eircode,latitude,longitude,geocoding_url,formatted_address,place_id,electoral_district,region,electoral_district_id,bus_distance
05/03/2010,"18 Ascaill Rois, Carrickmacross",Monaghan,195000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,A81 AW70,53.96730480000001,-6.7190132999999985,"https://maps.googleapis.com/maps/api/geocode/json?address=18+Ascaill+Rois,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","18 Ascáill Róis, Magheraboy Rd, Magheross, Carrickmacross, Co. Monaghan, A81 AW70, Ireland",ChIJtzUymzmyYEgRBLTRqUL3bZI,Carrickmacross Rural,Border,34007,0.9230150349087168
08/03/2010,"Killygowan, Ballybay Road, Monaghan",Monaghan,110000.0,No,Second-Hand Dwelling house /Apartment,,GEOMETRIC_CENTER,,54.23633390000001,-6.9656018,"https://maps.googleapis.com/maps/api/geocode/json?address=Killygowan,+Ballybay+Road,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Ballybay Rd, Killygowan, Monaghan, Ireland",EipCYWxseWJheSBSZCwgS2lsbHlnb3dhbiwgTW9uYWdoYW4sIElyZWxhbmQiLiosChQKEgmHRHlv4qFgSBH8Kajbh_qEHBIUChIJcwe4BVyfYEgRTN5RJsUAtzk,Monaghan Rural,Border,34063,0.3149655778206181
08/03/2010,"Killygrallen, Ballinode",Monaghan,280000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,APPROXIMATE,,54.2644297,-7.0518316999999975,"https://maps.googleapis.com/maps/api/geocode/json?address=Killygrallen,+Ballinode,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Killygrallan, Co. Monaghan, Ireland",ChIJ9SEtSs6fYEgRUnDL2MQO6kA,Scotstown,Border,34065,4.311108790295195
10/03/2010,"1 Limegrove, Kilnacloy, Monaghan",Monaghan,167000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,H18 TC62,54.25127360000001,-6.973661999999999,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Limegrove,+Kilnacloy,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","1 Limegrove, Kilnacloy, Monaghan, H18 TC62, Ireland",ChIJNz9gqEGfYEgRxAKWeKqJzzw,Monaghan Urban,Border,34004,0.2984576855024927
10/03/2010,"12 Blaeberry Walk, Castleblayney",Monaghan,167500.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.120658999999996,-6.739737400000001,"https://maps.googleapis.com/maps/api/geocode/json?address=12+Blaeberry+Walk,+Castleblayney,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Moraghy, Castleblayney, Co. Monaghan, Ireland",ChIJYQqi76q7YEgR4Okxl6nHAAo,Castleblayney Urban,Border,34002,0.2702861594140941
10/03/2010,"73 Cluain Lorcan, Latlorcan, Monaghan",Monaghan,182071.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,H18 XV30,54.24570229999999,-6.9514457,"https://maps.googleapis.com/maps/api/geocode/json?address=73+Cluain+Lorcan,+Latlorcan,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","73 Cluain Lorcan, Latlorcan, Co. Monaghan, H18 XV30, Ireland",ChIJ-yQYkk2fYEgRhmbldkLllHY,Monaghan Rural,Border,34063,0.22100262330509196
12/03/2010,"74 Cluain Lorcan, Latlorcan, Monaghan",Monaghan,182071.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,H18 R159,54.2457246,-6.9515341,"https://maps.googleapis.com/maps/api/geocode/json?address=74+Cluain+Lorcan,+Latlorcan,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","74 Cluain Lorcan, Latlorcan, Co. Monaghan, H18 R159, Ireland",ChIJ2UtBkk2fYEgReQ1p_yljVsQ,Monaghan Rural,Border,34063,0.2257507515684128
12/03/2010,"75 Cluain Lorcan, Latlorcan, Monaghan",Monaghan,182071.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,H18 DE06,54.2457544,-6.95165,"https://maps.googleapis.com/maps/api/geocode/json?address=75+Cluain+Lorcan,+Latlorcan,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","75 Cluain Lorcan, Latlorcan, Co. Monaghan, H18 DE06, Ireland",ChIJaRv5kk2fYEgRAA61lBZlnWo,Monaghan Rural,Border,34063,0.23213982062074154
12/03/2010,"82 Cluain Lorcan, Latlorcan, Monaghan",Monaghan,182071.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,H18 PK54,54.2459225,-6.9523927999999975,"https://maps.googleapis.com/maps/api/geocode/json?address=82+Cluain+Lorcan,+Latlorcan,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","82 Cluain Lorcan, Latlorcan, Co. Monaghan, H18 PK54, Ireland",ChIJ839T6U2fYEgRng2qM1xVyWw,Monaghan Rural,Border,34063,0.2733264360821137
12/03/2010,"83 Cluain Lorcan, Latlorcan, Monaghan",Monaghan,182071.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,H18 HE95,54.24596130000001,-6.952511500000001,"https://maps.googleapis.com/maps/api/geocode/json?address=83+Cluain+Lorcan,+Latlorcan,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","83 Cluain Lorcan, Latlorcan, Co. Monaghan, H18 HE95, Ireland",ChIJAXI56U2fYEgR1eXSaqFvMrM,Monaghan Rural,Border,34063,0.2813102605249122
12/03/2010,"84 Cluain Lorcan, Latlorcan, Monaghan",Monaghan,182071.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,H18 F228,54.245981799999996,-6.9525938,"https://maps.googleapis.com/maps/api/geocode/json?address=84+Cluain+Lorcan,+Latlorcan,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","84 Cluain Lorcan, Latlorcan, Co. Monaghan, H18 F228, Ireland",ChIJszQg6U2fYEgRzIWXtlWJ25s,Monaghan Rural,Border,34063,0.286301428327529
15/03/2010,"5 Mullanamoy, Clones",Monaghan,162995.59,Yes,New Dwelling house /Apartment,greater than 125 sq metres,APPROXIMATE,,54.174859700000006,-7.2508022,"https://maps.googleapis.com/maps/api/geocode/json?address=5+Mullanamoy,+Clones,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Mullanamoy, Co. Monaghan, Ireland",ChIJxXBrB0sYXkgRQs60uqfHACY,Clones Rural,Border,34036,1.2892416678420957
18/03/2010,"Radrum, Dunraymond",Monaghan,140000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.184062600000004,-6.9515667,"https://maps.googleapis.com/maps/api/geocode/json?address=Radrum,+Dunraymond,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Radrum, Leck Road, Co. Monaghan, Ireland",ChIJc_qKGHGhYEgRzqWghyxB1NM,Rackwallace,Border,34064,2.6152725153534058
22/03/2010,"Glennyhorn, Clontibret",Monaghan,140000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.2084037,-6.853304799999999,"https://maps.googleapis.com/maps/api/geocode/json?address=Glennyhorn,+Clontibret,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Glennyhorn, Co. Monaghan, Ireland",ChIJx8WktOmiYEgRQvtTu6fHACY,Clontibret,Border,34053,0.7750865479056722
25/03/2010,"40 Manorwood, Monaghan",Monaghan,120000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,H18 DN80,54.240575,-6.9714562,"https://maps.googleapis.com/maps/api/geocode/json?address=40+Manorwood,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","40 Manor Wood, Killygowan, Monaghan, H18 DN80, Ireland",ChIJ1y0Sr12fYEgR1ImuTgX2Ieo,Monaghan Rural,Border,34063,0.2011341127353703
30/03/2010,"1 Mullach Glas Crescent, Mullach Glas, Mullaghmonaghan",Monaghan,88105.73,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,RANGE_INTERPOLATED,,54.2502676,-6.9761419999999985,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Mullach+Glas+Crescent,+Mullach+Glas,+Mullaghmonaghan,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","1 Mullach Glas Cres, Mullaghmonaghan, Monaghan, Ireland",EiYxIE11bGxhY2ggR2xhcyBDcmVzLCBNb25hZ2hhbiwgSXJlbGFuZCIaEhgKFAoSCSs4Q91Bn2BIESh_1Wqctk0zEAE,Monaghan Urban,Border,34004,0.35985411445038434
30/03/2010,"10 Belgium Park, Monaghan",Monaghan,70000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,H18 KH63,54.25511089999999,-6.9687414999999975,"https://maps.googleapis.com/maps/api/geocode/json?address=10+Belgium+Park,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","10 Belgium Park, Kilnacloy, Monaghan, Co. Monaghan, H18 KH63, Ireland",ChIJL1cEnzifYEgRJsKnFfRYy5g,Monaghan Urban,Border,34004,0.1286078338818866
30/03/2010,"10 Belgium Park, Monaghan",Monaghan,70000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,H18 KH63,54.25511089999999,-6.9687414999999975,"https://maps.googleapis.com/maps/api/geocode/json?address=10+Belgium+Park,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","10 Belgium Park, Kilnacloy, Monaghan, Co. Monaghan, H18 KH63, Ireland",ChIJL1cEnzifYEgRJsKnFfRYy5g,Monaghan Urban,Border,34004,0.1286078338818866
31/03/2010,"Aghaclogha, Tydavnet",Monaghan,273000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.308059899999996,-7.0175516999999985,"https://maps.googleapis.com/maps/api/geocode/json?address=Aghaclogha,+Tydavnet,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Aghaclogha, Co. Monaghan, Ireland",ChIJQRvNmYieYEgRUnxTu6fHACY,Killylough,Border,34061,3.962740648853529
31/03/2010,"The Pines, Magheraboy Road, Carrickmacross",Monaghan,122500.0,No,Second-Hand Dwelling house /Apartment,,GEOMETRIC_CENTER,,53.9611934,-6.723325999999999,"https://maps.googleapis.com/maps/api/geocode/json?address=The+Pines,+Magheraboy+Road,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Magheraboy Rd, Magheraboy, Co. Monaghan, Ireland",ChIJi5D7lUCyYEgR8_xkU-2m3WI,Carrickmacross Rural,Border,34007,1.6272556583138869
01/04/2010,"105 Beechgrove Lawns, Monaghan",Monaghan,120000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,H18 CV05,54.23342570000001,-6.9716365000000025,"https://maps.googleapis.com/maps/api/geocode/json?address=105+Beechgrove+Lawns,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","105 Beechgrove Lawns, Drumbear, Monaghan, H18 CV05, Ireland",ChIJWb-k-l-fYEgRwD0uMpRY1AY,Monaghan Rural,Border,34063,0.21865559414194835
12/04/2010,"Castleblayney Road, Carrickmacross",Monaghan,156000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,,53.9805333,-6.7177335000000005,"https://maps.googleapis.com/maps/api/geocode/json?address=Castleblayney+Road,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","20 Castleblaney Rd, Cloghvally Upper, Carrickmacross, Co. Monaghan, Ireland",ChIJcYyslSiyYEgRiVgzT0wDnOY,Carrickmacross Urban,Border,34001,0.5542356121254476
19/04/2010,"15 Inver Park, Carrickmacross",Monaghan,155500.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,A81 NV63,53.98293320000001,-6.718333500000001,"https://maps.googleapis.com/maps/api/geocode/json?address=15+Inver+Park,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","15 Inver Park, Cloghvally Upper, Carrickmacross, Co. Monaghan, A81 NV63, Ireland",ChIJe_kEayiyYEgRJaJcX3KINWM,Carrickmacross Rural,Border,34007,0.8163659316286573
19/04/2010,"Apartment No. 18, An Crannog, Kingscourt Road, Carrickmacross",Monaghan,150000.0,No,Second-Hand Dwelling house /Apartment,,GEOMETRIC_CENTER,,53.97264089999999,-6.727451400000001,"https://maps.googleapis.com/maps/api/geocode/json?address=Apartment+No.+18,+An+Crannog,+Kingscourt+Road,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Kingscourt Rd, Co. Monaghan, Ireland",ChIJFyc41zyyYEgRavArdx0gHtg,Carrickmacross Rural,Border,34007,0.6416139584471832
22/04/2010,"11 Cloughvalley, Carrickmacross",Monaghan,112500.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,A81 WT44,53.9785926,-6.7130931,"https://maps.googleapis.com/maps/api/geocode/json?address=11+Cloughvalley,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Ayland House, 11 Cloughvalley, Cloghvally Upper, Carrickmacross, Co. Monaghan, A81 WT44, Ireland",ChIJz1zWuS6yYEgRUhM9qj7ITbs,Carrickmacross Rural,Border,34007,0.5078202467907269
24/04/2010,"Derrynasell East, Scotstown",Monaghan,25000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.3125029,-7.0737891999999984,"https://maps.googleapis.com/maps/api/geocode/json?address=Derrynasell+East,+Scotstown,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Derrynasell East, Co. Monaghan, Ireland",ChIJYS8RlgCeYEgR63_ZDl64l54,Tedavnet,Border,34068,7.3641554983670225
26/04/2010,"79 Drumbear Wood, Cootehill Road, Monaghan",Monaghan,180000.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,ROOFTOP,H18 P522,54.23309820000001,-6.9657607000000015,"https://maps.googleapis.com/maps/api/geocode/json?address=79+Drumbear+Wood,+Cootehill+Road,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","79 Drumbear Wood, Killyvane, Monaghan, H18 P522, Ireland",ChIJqy6D_eGhYEgR2rn2FjIPSes,Monaghan Rural,Border,34063,0.20330984485683973
28/04/2010,"Apartment No. A42/42A, Drumbear Wood, Monaghan",Monaghan,120000.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,ROOFTOP,H18 XW64,54.23383949999999,-6.9656946,"https://maps.googleapis.com/maps/api/geocode/json?address=Apartment+No.+A42/42A,+Drumbear+Wood,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","A42, 42 Drumbear Wood, Killyvane, Monaghan, H18 XW64, Ireland",EjJBNDIsIDQyIERydW1iZWFyIFdvb2QsIE1vbmFnaGFuLCBIMTggWFc2NCwgSXJlbGFuZCIfGh0KFgoUChIJv1T4TV-fYEgRWC3c1EpS3XoSA0E0Mg,Monaghan Rural,Border,34063,0.17995093892240624
28/04/2010,"No 1 Tyleadon Heights, Milltown",Monaghan,264317.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,APPROXIMATE,,54.26683440000001,-6.9868128,"https://maps.googleapis.com/maps/api/geocode/json?address=No+1+Tyleadon+Heights,+Milltown,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Milltown, Drumhillock, Co. Monaghan, Ireland",ChIJd7KblxmfYEgRcqfAdlIfL0E,Bellanode,Border,34048,1.7888232022382329
29/04/2010,"11 An Crannog, Kingscourt Road, Carrickmacross",Monaghan,150000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,GEOMETRIC_CENTER,,53.97264089999999,-6.727451400000001,"https://maps.googleapis.com/maps/api/geocode/json?address=11+An+Crannog,+Kingscourt+Road,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Kingscourt Rd, Co. Monaghan, Ireland",ChIJFyc41zyyYEgRavArdx0gHtg,Carrickmacross Rural,Border,34007,0.6416139584471832
