date_of_sale,address,county,price,vat_exclusive,property_description,property_size,eircode,geocoding_url,longitude,latitude,formatted_address,place_id,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
08/03/2010,"7 Hill Crescent, Ballymahon",Longford,167400.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,N39 FW13,"https://maps.googleapis.com/maps/api/geocode/json?address=7+Hill+Crescent,+Ballymahon,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7627017999999985,53.55821899999999,"7 Hill Cres, Creevagh Beg, Ballymahon, Co. Longford, N39 FW13, Ireland",ChIJVUoRAXHLXUgRLSOSFlMqUGQ,ROOFTOP,Midland,09004,Ballymahon,0.3302971631637581,17.919687930648607
23/03/2010,"1 Canal Mews, Prospect Wood, Longford",Longford,124500.0,No,Second-Hand Dwelling house /Apartment,,N39 E8W9,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Canal+Mews,+Prospect+Wood,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.793619199999997,53.71900649999999,"1 Canal Mews, Prospect Wood, Longford, N39 E8W9, Ireland",ChIJxxddGqHTXUgRV68O-1-Xvd4,ROOFTOP,Midland,09051,Longford Rural,0.618578813768515,0.5964938786782039
25/03/2010,"37 Sliabh Cairbe, Drumlish",Longford,140000.0,No,Second-Hand Dwelling house /Apartment,,N39 RX23,"https://maps.googleapis.com/maps/api/geocode/json?address=37+Sliabh+Cairbe,+Drumlish,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.763149900000001,53.8178911,"37 Sliabh Cairbe, Drumlish, Co. Longford, N39 RX23, Ireland",ChIJFVrwZAnWXUgRLaXMgSra-QE,ROOFTOP,Midland,09048,Drumlish,0.4549178747291564,10.618970712356676
25/03/2010,"Farnagh, Glebe, Longford",Longford,170000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Farnagh,+Glebe,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.793021,53.7181946,"Farnagh Glebe, Longford, Ireland",ChIJDylGl6bTXUgRUGDgN6nHABg,APPROXIMATE,Midland,09051,Longford Rural,0.7157531705338797,0.6938298308471703
29/03/2010,"19 St. Mel'S Road, Longford.",Longford,90000.0,No,Second-Hand Dwelling house /Apartment,,N39 P2X2,"https://maps.googleapis.com/maps/api/geocode/json?address=19+St.+Mel'S+Road,+Longford.,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7963920999999985,53.7286024,"19 St Mel's Rd, Deanscurragh, Longford, N39 P2X2, Ireland",ChIJCx3gL5zTXUgRTZQ6LNP9pFM,ROOFTOP,Midland,09001,Longford No. 1 Urban,0.19677600457968106,0.4674902616075877
29/03/2010,"Mullinroe, Dring",Longford,80000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Mullinroe,+Dring,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.515964999999999,53.820752899999995,"Mullinroe, Aughnagarnon, Co. Longford, Ireland",ChIJy97oRjrfXUgRxejpEB8Y4es,APPROXIMATE,Midland,09019,Creevy,4.977502930902118,15.740596905589989
08/04/2010,"Abbeycartron, Battery Road, Longford",Longford,350000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Abbeycartron,+Battery+Road,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.8022399999999985,53.7395632,"Battery Rd, Abbeycartron, Co. Longford, Ireland",Ei9CYXR0ZXJ5IFJkLCBBYmJleWNhcnRyb24sIENvLiBMb25nZm9yZCwgSXJlbGFuZCIuKiwKFAoSCTnk072B011IEb4jXd3LVDxdEhQKEgkZeZFghNNdSBGS3r0ZqMcAJg,GEOMETRIC_CENTER,Midland,09051,Longford Rural,0.1649386568748209,1.7349271816484757
08/04/2010,"Carrowroe, Lanesboro",Longford,224000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Carrowroe,+Lanesboro,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.9970808999999985,53.6401919,"Carrowroe, Cullentra, Co. Longford, Ireland",ChIJX3ematcxXEgRJk0zlztA5FM,APPROXIMATE,Midland,09055,Rathcline,3.6229887220096346,16.21292098974806
09/04/2010,"9 An Rath Beag, Abbeylara",Longford,138700.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,N39 KV27,"https://maps.googleapis.com/maps/api/geocode/json?address=9+An+Rath+Beag,+Abbeylara,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.448313900000001,53.76533910000001,"9 An Rath Bheag, Cloonaghmore, Abbeylara, Co. Longford, N39 KV27, Ireland",ChIJqYxm6tfdXUgRLhOKxW3WN5g,ROOFTOP,Midland,09013,Abbeylara,0.036198942785429435,13.26201046727081
14/04/2010,"Drinan, Ballymahon",Longford,185000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Drinan,+Ballymahon,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.777422599999999,53.5704524,"Drinan, Creevagh, Co. Longford, Ireland",ChIJfV0ViJzMXUgRwl7HGajHACY,APPROXIMATE,Midland,09004,Ballymahon,0.9304152928483574,17.145396156767962
15/04/2010,"Corboy, Edgeworthstown",Longford,40000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Corboy,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.691388300000002,53.71499379999999,"Corboy, Co. Longford, Ireland",ChIJX2byPhrRXUgRApBRu6fHACY,APPROXIMATE,Midland,09046,Corboy,1.1548760511284135,6.4779010600002245
15/04/2010,"Corboy, Longford",Longford,28000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Corboy,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.691388300000002,53.71499379999999,"Corboy, Co. Longford, Ireland",ChIJX2byPhrRXUgRApBRu6fHACY,APPROXIMATE,Midland,09046,Corboy,1.1548760511284135,6.4779010600002245
16/04/2010,"4A An Rath Beag, Abbeylara",Longford,138700.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,"https://maps.googleapis.com/maps/api/geocode/json?address=4A+An+Rath+Beag,+Abbeylara,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.448765099999999,53.76536379999999,"4 An Rath Bheag, Cloonaghmore, Co. Longford, Ireland",EiY0IEFuIFJhdGggQmhlYWcsIENvLiBMb25nZm9yZCwgSXJlbGFuZCIaEhgKFAoSCR9u_OnX3V1IEeYR_c-H2KgCEAQ,RANGE_INTERPOLATED,Midland,09013,Abbeylara,0.02028210453339515,13.240991760377204
19/04/2010,"Knockawley, Melview, Longford",Longford,117500.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Knockawley,+Melview,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.791879999999999,53.75998000000001,"Knockawalky, Melview, Co. Longford, Ireland",ChIJN0khVGzUXUgR0G7fN6nHABg,APPROXIMATE,Midland,09043,Caldragh,0.5555691432495714,3.9655648727782937
23/04/2010,"12, Sliabh Rua, Drumlish",Longford,126651.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,N39 PN82,"https://maps.googleapis.com/maps/api/geocode/json?address=12,+Sliabh+Rua,+Drumlish,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7726878,53.81573929999999,"12 Sliabh Rua, Drumlish, Co. Longford, N39 PN82, Ireland",ChIJ95oXauHVXUgRFqdm42desek,ROOFTOP,Midland,09048,Drumlish,0.6318189072104451,10.272953574008966
23/04/2010,"2, Sliabh Rua, Drumlish",Longford,126651.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,N39 YP29,"https://maps.googleapis.com/maps/api/geocode/json?address=2,+Sliabh+Rua,+Drumlish,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7738714999999985,53.81606970000001,"2 Sliabh Rua, Drumlish, Co. Longford, N39 YP29, Ireland",ChIJTYEcUOHVXUgREfPqwsSwxqU,ROOFTOP,Midland,09048,Drumlish,0.6416538137256708,10.298051466355641
23/04/2010,"3, Sliabh Rua, Drumlish",Longford,126651.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,N39 YV70,"https://maps.googleapis.com/maps/api/geocode/json?address=3,+Sliabh+Rua,+Drumlish,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.773841499999999,53.815951500000004,"3 Sliabh Rua, Drumlish, Co. Longford, N39 YV70, Ireland",ChIJz7aTT-HVXUgRh8Nqk5DeUL8,ROOFTOP,Midland,09048,Drumlish,0.6512464973939285,10.285313748268434
23/04/2010,"4, Sliabh Rua, Drumlish",Longford,126651.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,N39 XD21,"https://maps.googleapis.com/maps/api/geocode/json?address=4,+Sliabh+Rua,+Drumlish,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7737405000000015,53.8157657,"4 Sliabh Rua, Drumlish, Co. Longford, N39 XD21, Ireland",ChIJRYxZT-HVXUgRC8J-Mn598Lk,ROOFTOP,Midland,09048,Drumlish,0.6646294303471522,10.265796347527363
26/04/2010,"8 The Meadows, Drumlish",Longford,110000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=8+The+Meadows,+Drumlish,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.768414,53.820590300000006,"Drumlish, Co. Longford, Ireland",ChIJp-Y_auLVXUgRwHUxl6nHAAo,APPROXIMATE,Midland,09048,Drumlish,0.0243225376036314,10.850094895388436
26/04/2010,"Ballymahon, Longford",Longford,30000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Ballymahon,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7645963999999985,53.564363199999995,"Ballymahon, Co. Longford, Ireland",ChIJM0TXLWXLXUgREHYxl6nHAAo,APPROXIMATE,Midland,09004,Ballymahon,0.0212342723185806,17.445854903473546
29/04/2010,"Cloonteagh, Newtownforbes",Longford,134000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Cloonteagh,+Newtownforbes,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.8328240000000005,53.8014801,"Cloontagh, Co. Longford, Ireland",ChIJAbqg8Q3VXUgRAtTrR1ZsQ7o,APPROXIMATE,Midland,09042,Breanrisk,3.12571548281198,8.907684984508338
30/04/2010,"31 Cloverwell, Edgesworthstown",Longford,92500.0,No,Second-Hand Dwelling house /Apartment,,N39 TH24,"https://maps.googleapis.com/maps/api/geocode/json?address=31+Cloverwell,+Edgesworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.614498200000001,53.70223259999999,"31 Cloverwell, Keelogenasause, Edgeworthstown, Co. Longford, N39 TH24, Ireland",ChIJRfXGJ4PaXUgRTg_7NgACIYs,ROOFTOP,Midland,09030,Meathas Truim,0.6100158600002271,1.651803426792274
30/04/2010,"Moigh, Ballymahon",Longford,69000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Moigh,+Ballymahon,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7645963999999985,53.564363199999995,"Ballymahon, Co. Longford, Ireland",ChIJM0TXLWXLXUgREHYxl6nHAAo,APPROXIMATE,Midland,09004,Ballymahon,0.0212342723185806,17.445854903473546
04/05/2010,"Moygh, Killashee",Longford,46500.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Moygh,+Killashee,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.8700421999999985,53.67757750000001,"Moygh, Co. Longford, Ireland",ChIJe0M5UD4tXEgRrIT1xoSvFic,APPROXIMATE,Midland,09049,Killashee,0.8089366824842387,7.122418434790584
10/05/2010,"Elfeet Bay, Newtowncashel",Longford,20000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Elfeet+Bay,+Newtowncashel,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.962336700000002,53.585660600000004,"Elfeet, Newtowncashel, Co. Longford, Ireland",ChIJ4Z1W3BQxXEgRkFHgN6nHABg,APPROXIMATE,Midland,09006,Cashel West,9.58025819362885,18.917982801038434
13/05/2010,"Back Of The Hill, Ardagh",Longford,145000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Back+Of+The+Hill,+Ardagh,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.679215899999999,53.6725998,"Back of the Hill, Co. Longford, Ireland",ChIJhwTQA9HRXUgROx-lWFvCuik,APPROXIMATE,Midland,09038,Ardagh East,1.1671701225323352,5.300148144910101
20/05/2010,"96 Cartrun Breac, Lisbrack, Longford",Longford,110132.15,Yes,New Dwelling house /Apartment,less than 38 sq metres,N39 K0Y2,"https://maps.googleapis.com/maps/api/geocode/json?address=96+Cartrun+Breac,+Lisbrack,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.8065103,53.73907929999999,"96 Cartrun Breac, Lisbrack, Longford, N39 K0Y2, Ireland",ChIJxWA8O3_TXUgR4vxyq8XCqhw,ROOFTOP,Midland,09051,Longford Rural,0.24307361813613265,1.7709551132526258
20/05/2010,"Pound Street, Edgeworthstown",Longford,70000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Pound+Street,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.6108235,53.69669469999999,"Pound St, Edgeworthstown, Co. Longford, Ireland",ChIJO1wVG5zaXUgRr2A_P3SLMx4,GEOMETRIC_CENTER,Midland,09030,Meathas Truim,0.011159593492794741,0.9937643395936056
20/05/2010,"Rhyne, Killoe, Longford",Longford,32000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Rhyne,+Killoe,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.696189500000001,53.75699030000001,"Rhine, Killoe, Co. Longford, Ireland",ChIJMZjBN8rWXUgRYE7fN6nHABg,APPROXIMATE,Midland,09045,Cloonee,1.8925387860052847,7.495686060584535
27/05/2010,"Ahanagh, Bornacoola",Longford,125000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Ahanagh,+Bornacoola,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.879615400000001,53.80891039999999,"Ahanagh, Bornacoola, Co. Longford, Ireland",ChIJbZcwGjbVXUgRsLnqN6nHABg,APPROXIMATE,Midland,09054,Newtown Forbes,5.485318124175942,10.886272593286154
14/06/2010,"Corboy, Edgeworthstown",Longford,200000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,"https://maps.googleapis.com/maps/api/geocode/json?address=Corboy,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.691388300000002,53.71499379999999,"Corboy, Co. Longford, Ireland",ChIJX2byPhrRXUgRApBRu6fHACY,APPROXIMATE,Midland,09046,Corboy,1.1548760511284135,6.4779010600002245
14/06/2010,"Pinegrove, Corboy, Edgeworthstown",Longford,145000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Pinegrove,+Corboy,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.691388300000002,53.71499379999999,"Corboy, Co. Longford, Ireland",ChIJX2byPhrRXUgRApBRu6fHACY,APPROXIMATE,Midland,09046,Corboy,1.1548760511284135,6.4779010600002245
17/06/2010,"Crosshea, Edgeworthstown",Longford,45000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Crosshea,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.608492999999997,53.69568620000001,"Edgeworthstown, Co. Longford, Ireland",ChIJmXt2WZ3aXUgRMHYxl6nHAAo,APPROXIMATE,Midland,09030,Meathas Truim,0.2002153209590292,0.8245604757351226
18/06/2010,"Cloonkeel, Killashee",Longford,64000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Cloonkeel,+Killashee,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.9469369000000025,53.707599699999996,"Cloonkeel, Co. Longford, Ireland",ChIJ6czNTDksXEgRQaRdRAybyFY,APPROXIMATE,Midland,09052,Mountdavis,4.156881962783369,10.101295619916376
