date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,public_transport_distance,train_distance
19/01/2010,"45 Drumacon, Cornmaddy, Athlone",Westmeath,211572.68,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJl2NhJ51JXEgR3KpvMZCF7Cw,"https://maps.googleapis.com/maps/api/geocode/json?address=45+Drumacon,+Cornmaddy,+Athlone,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.43475359999999,-7.906529600000002,"45 Drumaconn, Cornamaddy, Athlone, Co. Westmeath, N37 P4A8, Ireland",N37 P4A8,ROOFTOP,Midland,13014,Moydrum,0.2392351211618952,2.09786685005871
19/01/2010,"Pearse Street, Mullingar",Westmeath,100000.0,No,Second-Hand Dwelling house /Apartment,,ChIJAUygmB3AXUgR0f0nUAMAJps,"https://maps.googleapis.com/maps/api/geocode/json?address=Pearse+Street,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5259149,-7.339992099999999,"Pearse St, Mullingar, Co. Westmeath, Ireland",,GEOMETRIC_CENTER,Midland,13090,Mullingar North Urban,0.02469066366640354,0.4947988598209272
21/01/2010,"4 Deravarra House, Delvin Road, Mullingar",Westmeath,91000.0,No,Second-Hand Dwelling house /Apartment,,ChIJOehXAL7qXUgRoLPreIIjM2I,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Deravarra+House,+Delvin+Road,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.53468520000001,-7.3185546000000015,"Apartment 11, Deravarra House, Delvin Rd, Deravarra, Ballagh, Mullingar, Co. Westmeath, Ireland",,ROOFTOP,Midland,13089,Mullingar Rural,1.1006263514133423,2.2141370377234835
22/01/2010,"17 Talbot Avenue, Athlone",Westmeath,90000.0,No,Second-Hand Dwelling house /Apartment,,ChIJUcB8Rf9IXEgRgjAFiQUvd2k,"https://maps.googleapis.com/maps/api/geocode/json?address=17+Talbot+Avenue,+Athlone,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.42813029999999,-7.953145300000001,"17 Talbot Ave, Ranelagh, Athlone, Co. Westmeath, N37 D2Y9, Ireland",N37 D2Y9,ROOFTOP,Midland,13002,Athlone West Urban,0.21379103807275326,1.1448124415981182
22/01/2010,"Vilianstown, Gaybrook, Mullingar",Westmeath,446000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJfw9QpQCVXUgRueZvEsi4utk,"https://maps.googleapis.com/maps/api/geocode/json?address=Vilianstown,+Gaybrook,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.47295219999999,-7.272444099999999,"Vilanstown Road, Co. Westmeath, Ireland",,GEOMETRIC_CENTER,Midland,13099,Russellstown,3.686453848423978,7.343465721149095
22/01/2010,"Vilianstown, Gaybrook, Mullingar",Westmeath,446000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJfw9QpQCVXUgRueZvEsi4utk,"https://maps.googleapis.com/maps/api/geocode/json?address=Vilianstown,+Gaybrook,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.47295219999999,-7.272444099999999,"Vilanstown Road, Co. Westmeath, Ireland",,GEOMETRIC_CENTER,Midland,13099,Russellstown,3.686453848423978,7.343465721149095
25/01/2010,"140 Glenmore Woods, Mullingar",Westmeath,176355.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJD_Hcq7rqXUgRXzYBvXQMBM4,"https://maps.googleapis.com/maps/api/geocode/json?address=140+Glenmore+Woods,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.52397029999999,-7.322753899999999,"140 Glenmore Wood, Dublin Rd, Bellview, Mullingar, Co. Westmeath, N91 N8PE, Ireland",N91 N8PE,ROOFTOP,Midland,13091,Mullingar South Urban,0.35274748427439284,1.5210701561822804
25/01/2010,"21 The Moorings, Ballymahon Road, Athlone",Westmeath,306000.0,No,Second-Hand Dwelling house /Apartment,,EjAyMSBUaGUgTW9vcmluZ3MsIEF0aGxvbmUsIENvLiBXZXN0bWVhdGgsIElyZWxhbmQiGhIYChQKEglDHEVQCElcSBGkniR5tb_OmxAV,"https://maps.googleapis.com/maps/api/geocode/json?address=21+The+Moorings,+Ballymahon+Road,+Athlone,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.42802,-7.929449999999999,"21 The Moorings, Athlone, Co. Westmeath, Ireland",,RANGE_INTERPOLATED,Midland,13001,Athlone East Urban,0.2066469858009261,0.4057143249726329
26/01/2010,"Lispopple, Coole",Westmeath,125000.0,No,Second-Hand Dwelling house /Apartment,,ChIJS83WTKjCXUgRVAOX_CSLNNI,"https://maps.googleapis.com/maps/api/geocode/json?address=Lispopple,+Coole,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.6773269,-7.380058300000001,"Lispopple, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13028,Coolure,2.4348867953751143,17.30272518324733
27/01/2010,"Archerstown, Delvin",Westmeath,229000.0,No,Second-Hand Dwelling house /Apartment,,ChIJac_X9SfyXUgRoPkxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Archerstown,+Delvin,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.61256529999999,-7.0917224,"Castletowndelvin, Delvin, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13041,Delvin,0.11488412810902725,19.511033400251684
29/01/2010,"Ballinderry, Mullingar",Westmeath,273000.0,No,Second-Hand Dwelling house /Apartment,,ChIJk7hHdQHAXUgRs-d1xpWI6sA,"https://maps.googleapis.com/maps/api/geocode/json?address=Ballinderry,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.51591360000001,-7.3394600999999975,"Ballinderry, Mullingar, Co. Westmeath, Ireland",,GEOMETRIC_CENTER,Midland,13089,Mullingar Rural,0.21690003845677566,0.8448234683647564
29/01/2010,"Petitswood Close, Mullingar",Westmeath,175000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ7WPsKa7qXUgRy8Ql0K32sDc,"https://maps.googleapis.com/maps/api/geocode/json?address=Petitswood+Close,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.52232339999999,-7.3198405,"Petitswood Manor, Mullingar, Co. Westmeath, Ireland",,GEOMETRIC_CENTER,Midland,13089,Mullingar Rural,0.30881141756768754,1.7080210660091557
01/02/2010,"Ballyroan House, Harbour Road, Kilbeggan",Westmeath,200000.0,No,Second-Hand Dwelling house /Apartment,,ChIJPYW-6KELZ0gRIR913_vbCTE,"https://maps.googleapis.com/maps/api/geocode/json?address=Ballyroan+House,+Harbour+Road,+Kilbeggan,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.2878309,-6.3035723,"Ballyroan, Dublin, Ireland",,APPROXIMATE,Dublin,03002,Ballyboden,55.57376434613991,73.8712649812727
08/02/2010,"7 Highfield, Balinderry, Mullingar",Westmeath,215000.0,No,Second-Hand Dwelling house /Apartment,,ChIJwz0PrADAXUgRf8ux6g5DjnQ,"https://maps.googleapis.com/maps/api/geocode/json?address=7+Highfield,+Balinderry,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.51208810000001,-7.341180599999999,"7 Highfield, Ballinderry, Mullingar, Co. Westmeath, N91 R7P1, Ireland",N91 R7P1,ROOFTOP,Midland,13089,Mullingar Rural,0.3880492136540366,1.1997278148258452
11/02/2010,"4 Jolly Mariner, Marina Village, Coosan Rd., Athlone",Westmeath,158000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJFWBnK6tJXEgR0Kk6YsRWopQ,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Jolly+Mariner,+Marina+Village,+Coosan+Rd.,+Athlone,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.43230459999999,-7.948025899999997,"Jolly Mariner, Coosan Rd, Athlone, Co. Westmeath, Ireland",,ROOFTOP,Midland,13003,Athlone East Rural,0.5335027033332874,0.993315019579194
11/02/2010,"9  Woodville Lawns, Athlone",Westmeath,35000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ02-bOoJJXEgRfodEmcOlndc,"https://maps.googleapis.com/maps/api/geocode/json?address=9+Woodville+Lawns,+Athlone,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.4345277,-7.899016899999999,"9 Woodville Lawns, Woodville Grange, Athlone, Co. Westmeath, N37 A5X9, Ireland",N37 A5X9,ROOFTOP,Midland,13014,Moydrum,0.1532005901568684,2.548380181896196
12/02/2010,"2 Beechview, Rathwire, Killucan",Westmeath,130000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ8W0RWsGSXUgR0Juq-PMHsHk,"https://maps.googleapis.com/maps/api/geocode/json?address=2+Beechview,+Rathwire,+Killucan,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.50699470000001,-7.138420000000001,"2 Beechview, Rathwire, Killucan, Co. Westmeath, N91 XW57, Ireland",N91 XW57,ROOFTOP,Midland,13082,Killucan,0.1927801737084584,13.817909389106571
12/02/2010,"Gartlandstown, Crookedwood, Mullingar",Westmeath,235000.0,No,Second-Hand Dwelling house /Apartment,,ChIJL9bBIm_pXUgRaT0HyTrWWfA,"https://maps.googleapis.com/maps/api/geocode/json?address=Gartlandstown,+Crookedwood,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.616226,-7.281223999999999,"Gartlandstown, Mornington, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13049,Kilpatrick,1.6833858531413215,11.201670357132897
15/02/2010,"Ballivor Road, Raharney",Westmeath,193000.0,No,Second-Hand Dwelling house /Apartment,,ChIJhRam-FKNXUgRMCAyl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Ballivor+Road,+Raharney,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5241052,-7.0960893999999985,"Raharney Little, Raharney, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13096,Raharney,0.034251478828014326,16.50375744943015
16/02/2010,"1 Ardmore Hills, Mullingar",Westmeath,300000.0,No,Second-Hand Dwelling house /Apartment,,ChIJM2p-ULbqXUgRR2cmaj0VZzg,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Ardmore+Hills,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.52103570000001,-7.311147800000001,"1 Ardmore Hills, Petitswood, Mullingar, Co. Westmeath, N91 X6F5, Ireland",N91 X6F5,ROOFTOP,Midland,13060,Castle,0.23792073885236825,2.2900160111636896
16/02/2010,"71 The Park, Lakepoint, Mullingar",Westmeath,150000.0,No,Second-Hand Dwelling house /Apartment,,ChIJGXA-sb7qXUgRE_M8NeP5qpg,"https://maps.googleapis.com/maps/api/geocode/json?address=71+The+Park,+Lakepoint,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.530005,-7.316331000000001,"71 The Park, Lakepoint Park, Mullingar, Co. Westmeath, N91 Y2P7, Ireland",N91 Y2P7,ROOFTOP,Midland,13089,Mullingar Rural,0.5843978369742123,2.0937221562814043
18/02/2010,"58 Parnell Square, Athlone",Westmeath,75000.0,No,Second-Hand Dwelling house /Apartment,,ChIJVwL0ggJJXEgRm_Qv-tnPiA0,"https://maps.googleapis.com/maps/api/geocode/json?address=58+Parnell+Square,+Athlone,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.4208509,-7.944631999999999,"58 Parnell Square, Athlone, Co. Westmeath, N37 Y4X5, Ireland",N37 Y4X5,ROOFTOP,Midland,13002,Athlone West Urban,0.1733619910925592,0.8772318165582749
18/02/2010,"Collinstown Road, Delvin",Westmeath,149000.0,No,Second-Hand Dwelling house /Apartment,,ChIJac_X9SfyXUgRoPkxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Collinstown+Road,+Delvin,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.61256529999999,-7.0917224,"Castletowndelvin, Delvin, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13041,Delvin,0.11488412810902725,19.511033400251684
19/02/2010,"108 Belvedere Hills, Ballinderry, Mullingar",Westmeath,175000.0,No,Second-Hand Dwelling house /Apartment,,ChIJcUPpj_-_XUgRxklAHOScIBg,"https://maps.googleapis.com/maps/api/geocode/json?address=108+Belvedere+Hills,+Ballinderry,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.511373899999995,-7.3367825,"108 Belvedere Hills, Ballinderry, Mullingar, Co. Westmeath, N91 K2D0, Ireland",N91 K2D0,ROOFTOP,Midland,13089,Mullingar Rural,0.5981715831852602,1.3748313506109708
19/02/2010,"140 Glenmore Wood, Mullingar",Westmeath,245950.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJD_Hcq7rqXUgRXzYBvXQMBM4,"https://maps.googleapis.com/maps/api/geocode/json?address=140+Glenmore+Wood,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.52397029999999,-7.322753899999999,"140 Glenmore Wood, Dublin Rd, Bellview, Mullingar, Co. Westmeath, N91 N8PE, Ireland",N91 N8PE,ROOFTOP,Midland,13091,Mullingar South Urban,0.35274748427439284,1.5210701561822804
19/02/2010,"57 Ardleigh Park, Mullingar",Westmeath,136000.0,No,Second-Hand Dwelling house /Apartment,,ChIJlWmIyxLAXUgR6-uRh4KmHF8,"https://maps.googleapis.com/maps/api/geocode/json?address=57+Ardleigh+Park,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5227713,-7.3657732000000005,"57 Ardleigh Park, Sarsanstown, Mullingar, Co. Westmeath, N91 E9F3, Ireland",N91 E9F3,ROOFTOP,Midland,13089,Mullingar Rural,0.9707282233796284,1.2875557880155766
19/02/2010,"81 Petitswood Manor, Mullingar",Westmeath,180000.0,No,Second-Hand Dwelling house /Apartment,,EjY4MSBQZXRpdHN3b29kIE1hbm9yLCBNdWxsaW5nYXIsIENvLiBXZXN0bWVhdGgsIElyZWxhbmQiGhIYChQKEgkzrHYqrupdSBFu1kMRCbLjsBBR,"https://maps.googleapis.com/maps/api/geocode/json?address=81+Petitswood+Manor,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.52061150000001,-7.322020500000002,"81 Petitswood Manor, Ardmore, Mullingar, Co. Westmeath, Ireland",,RANGE_INTERPOLATED,Midland,13091,Mullingar South Urban,0.5476363601637443,1.580891781333186
19/02/2010,"87  Tir Croghan, Kinnegad",Westmeath,151541.85,Yes,New Dwelling house /Apartment,less than 38 sq metres,ChIJT2pOjROSXUgR2qDACnHruWo,"https://maps.googleapis.com/maps/api/geocode/json?address=87+Tir+Croghan,+Kinnegad,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.45645089999999,-7.1105705000000015,"87 Tircroghan, Kinnegad, Co. Westmeath, N91 HN90, Ireland",N91 HN90,ROOFTOP,Midland,13083,Kinnegad,0.27306316586764,17.21123296970976
19/02/2010,"Corrydonnellan, Rathowen",Westmeath,60000.0,No,Second-Hand Dwelling house /Apartment,,ChIJF5n0e7zEXUgRIiJSu6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Corrydonnellan,+Rathowen,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.654358499999994,-7.5045955,"Corrydonnellan, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13032,Rathowen,0.6503742378898747,17.964846684293228
19/02/2010,"No. 1 Springfield Close, Mullingar",Westmeath,70000.0,No,Second-Hand Dwelling house /Apartment,,ChIJQYiNOB3AXUgR5EsGIvJRBxs,"https://maps.googleapis.com/maps/api/geocode/json?address=No.+1+Springfield+Close,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.52586849999999,-7.338309600000001,"Austin Friars St, Bellview, Mullingar, Co. Westmeath, N91 YH2F, Ireland",N91 YH2F,GEOMETRIC_CENTER,Midland,13091,Mullingar South Urban,0.01850020245132017,0.5825128924508111
23/02/2010,"39 Newlands, Mullingar",Westmeath,120000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ4QE4IKjqXUgRsJK-Le9hrQM,"https://maps.googleapis.com/maps/api/geocode/json?address=39+Newlands,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.52138129999999,-7.336384700000001,"39 Newlands, Bellview, Mullingar, Co. Westmeath, N91 T9K5, Ireland",N91 T9K5,ROOFTOP,Midland,13091,Mullingar South Urban,0.5214166187850791,0.6310372428451354
23/02/2010,"Ballaghy, Castletown-Geoghegan",Westmeath,125000.0,No,Second-Hand Dwelling house /Apartment,,ChIJP3tbAwm5XUgRQLsxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Ballaghy,+Castletown-Geoghegan,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.446280099999996,-7.4876068999999985,"Castletown, Castletown Geoghegan, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13062,Castletown,0.08713402766630937,12.65282859663622
24/02/2010,"No. 8 Killucan Manor Drive, Rathwire, Killucan",Westmeath,132222.22,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJYxWMn8GSXUgR-oIEgd_k5U8,"https://maps.googleapis.com/maps/api/geocode/json?address=No.+8+Killucan+Manor+Drive,+Rathwire,+Killucan,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.50501600000001,-7.1366701,"8 Killucan Manor Dr, Rathwire, Killucan, Co. Westmeath, N91 HK84, Ireland",N91 HK84,ROOFTOP,Midland,13082,Killucan,0.4315531342732528,13.962388091621095
24/02/2010,"Rathwire Lower, Killucan",Westmeath,230000.0,No,Second-Hand Dwelling house /Apartment,,ChIJyVgXacGSXUgR1EnkyvByE6A,"https://maps.googleapis.com/maps/api/geocode/json?address=Rathwire+Lower,+Killucan,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.50664579999999,-7.1372155999999976,"Rathwire Lower, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13082,Killucan,0.2801231622955123,13.901925141053855
01/03/2010,"24 Hillside Drive, Mullingar",Westmeath,158500.0,No,Second-Hand Dwelling house /Apartment,,ChIJeXXF9QHAXUgRYGEJpJTydug,"https://maps.googleapis.com/maps/api/geocode/json?address=24+Hillside+Drive,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5172823,-7.3371837000000015,"Dramona, 24 Hillside Dr, Ballinderry, Mullingar, Co. Westmeath, N91 E2N5, Ireland",N91 E2N5,ROOFTOP,Midland,13091,Mullingar South Urban,0.4142807685970791,0.8127599586042644
03/03/2010,"17 Ashcroft, Raharney",Westmeath,82500.0,No,Second-Hand Dwelling house /Apartment,,ChIJhRam-FKNXUgRMCAyl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=17+Ashcroft,+Raharney,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5241052,-7.0960893999999985,"Raharney Little, Raharney, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13096,Raharney,0.034251478828014326,16.50375744943015
03/03/2010,"92 Ardilaun Green, Mullingar",Westmeath,135000.0,No,Second-Hand Dwelling house /Apartment,,ChIJMbbPR2zAXUgRS4RFuftYpdc,"https://maps.googleapis.com/maps/api/geocode/json?address=92+Ardilaun+Green,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5241615,-7.3716621999999985,"92 Ardilaun Green, Sarsanstown, Mullingar, Co. Westmeath, N91 P8N7, Ireland",N91 P8N7,ROOFTOP,Midland,13089,Mullingar Rural,1.1175291894627382,1.6817786569643112
